Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Esp32-c3","Main microcontroller of my project",,5.48,"https://www.mercadolibre.com.mx/p/MLM63873566?pdp_filters=item_id%3AMLM2666400711#polycard_client=cart_list&wid=MLM2666400711&sid=cart","Mercado Libre"
"Display St7735 1.8""","Display the music I listened to",,5.59,"https://www.mercadolibre.com.mx/18-plg-spi-tft-lcd-pantalla-modulo-st7735-128x160-65k-color/up/MLMU559443070?pdp_filters=item_id:MLM1462652617#polycard_client=cart_list&wid=MLM1462652617&sid=cart","Mercado Libre"
